,,,,
,,,,
,,0,"18869176748590300,00","1,886917675"
,,0.01,"18871819339928600,00","1,887181934"
,,0.02,"18881992495206800,00","1,88819925"
,,0.03,"18897700988037400,00","1,889770099"
,,0.04,"18910174489867900,00","1,891017449"
,,0.05,"18904506980456000,00","1,890450698"
,,0.06,"18865486130077100,00","1,886548613"
,,0.07,"18783341775369100,00","1,878334178"
,,0.08,"18657069933932900,00","1,865706993"
,,0.09,"18498010344834400,00","1,849801034"
,,0.1,"18316762842111500,00","1,831676284"
,,0.11,"18142707639749000,00","1,814270764"
,,0.12,"17956696320230900,00","1,795669632"
,,0.13,"17742976461797500,00","1,774297646"
,,0.14,"17533131305380100,00","1,753313131"
,,0.15,"17314669072615800,00","1,731466907"
,,0.16,"17067633103938300,00","1,70676331"
,,0.17,"16761500312126100,00","1,676150031"
,,0.18,"16518619294165200,00","1,651861929"
,,0.19,"16211597400307900,00","1,62115974"
,,0.2,"15921884329752800,00","1,592188433"
,,0.21,"15684182113432400,00","1,568418211"
,,0.22,"15342269407833000,00","1,534226941"
,,0.23,"15126093330131100,00","1,512609333"
,,0.24,"14935180512576800,00","1,493518051"
,,0.25,"14841661209098200,00","1,484166121"
,,0.26,"14693377680617200,00","1,469337768"
,,0.27,"14557694142050400,00","1,455769414"
,,0.28,"14445776805843800,00","1,444577681"
,,0.29,"14321299778247100,00","1,432129978"
,,0.3,"14203968254398500,00","1,420396825"
,,0.31,"14099203554701100,00","1,409920355"
,,0.32,"14011612444347500,00","1,401161244"
,,0.33,"13874298873069000,00","1,387429887"
,,0.34,"13781557286843100,00","1,378155729"
,,35.000.000.000.000.000,"13671276233647600,00","1,367127623"
,,0.36,"13583310834915100,00","1,358331083"
,,0.37,"13468392511037100,00","1,346839251"
,,0.38,"13369014063737800,00","1,336901406"
,,0.39,"13283859065567300,00","1,328385907"
,,0.4,"13174963528933800,00","1,317496353"
,,41.000.000.000.000.000,"13072480602203700,00","1,30724806"
,,0.42,"12979899241674400,00","1,297989924"
,,0.43,"12866860697352200,00","1,28668607"
,,0.44,"12772153005466000,00","1,277215301"
,,0.45,"12676478081150100,00","1,267647808"
,,0.46,"12587302217955800,00","1,258730222"
,,47.000.000.000.000.000,"12486295453549800,00","1,248629545"
,,0.48,"12382116546562500,00","1,238211655"
,,0.49,"12292546957453800,00","1,229254696"
,,0.5,"12205500318144100,00","1,220550032"
,,0.51,"12111741096476900,00","1,21117411"
,,0.52,"12017971741930900,00","1,201797174"
,,0.53,"11938421184722900,00","1,193842118"
,,0.54,"11850728145093600,00","1,185072815"
,,0.55,"11773342290580700,00","1,177334229"
,,0.56,"11688996031665400,00","1,168899603"
,,5.700.000.000.000.000,"11613330155379100,00","1,161333016"
,,0.58,"11536090831528500,00","1,153609083"
,,0.59,"11470052360600600,00","1,147005236"
,,0.6,"11394108770201600,00","1,139410877"
,,0.61,"11329550724228300,00","1,132955072"
,,0.62,"11260039055626300,00","1,126003906"
,,0.63,"11198686247707300,00","1,119868625"
,,0.64,"11133293106498400,00","1,113329311"
,,0.65,"11074781676858100,00","1,107478168"
,,0.66,"11015146859967900,00","1,101514686"
,,0.67,"10960043874276000,00","1,096004387"
,,0.68,"10903506109350700,00","1,090350611"
,,6.900.000.000.000.000,"10856238251735600,00","1,085623825"
,,7.000.000.000.000.000,"10802192389191600,00","1,080219239"
,,0.71,"10758018242314400,00","1,075801824"
,,0.72,"10706750336135400,00","1,070675034"
,,0.73,"10662180811230700,00","1,066218081"
,,0.74,"10618413246277000,00","1,061841325"
,,0.75,"10576731755997100,00","1,057673176"
,,0.76,"10535070764164300,00","1,053507076"
,,0.77,"10495675218319800,00","1,049567522"
,,0.78,"10459456435385300,00","1,045945644"
,,0.79,"10422499324829500,00","1,042249932"
,,0.8,"10387707019888300,00","1,038770702"
,,0.81,"10354072781414900,00","1,035407278"
,,8.200.000.000.000.000,"10322122308625800,00","1,032212231"
,,8.300.000.000.000.000,"10288780193159800,00","1,028878019"
,,0.84,"10260803386840800,00","1,026080339"
,,0.85,"10228547971565000,00","1,022854797"
,,0.86,"10200939510433200,00","1,020093951"
,,0.87,"10174145448874000,00","1,017414545"
,,0.88,"10147821266426400,00","1,014782127"
,,0.89,"10123226234396800,00","1,012322623"
,,0.9,"10098901182858300,00","1,009890118"
,,0.91,"10075564738008200,00","1,007556474"
,,0.92,"10055260022473600,00","1,005526002"
,,0.93,"10031199741116000,00","1,003119974"
,,9.400.000.000.000.000,"10010953986170700,00","1,001095399"
,,9.500.000.000.000.000,"9990983353429600,00","0,9990983353"
,,0.96,"9971441594640690,00","0,9971441595"
,,0.97,"9954954698721270,00","0,9954954699"
,,0.98,"9936701080435700,00","0,993670108"
,,0.99,"9918072932145630,00","0,9918072932"
,,1,"9902400076980900,00","0,9902400077"
,,01.01,"9886079513380350,00","0,9886079513"
,,01.02,"9873374995799010,00","0,9873374996"
,,01.03,"9858408915262180,00","0,9858408915"
,,01.04,"9843967666635240,00","0,9843967667"
,,01.05,"9828374615628970,00","0,9828374616"
,,01.06,"9817361037986740,00","0,9817361038"
,,01.07,"9804890384005130,00","0,9804890384"
,,01.08,"9792446171385770,00","0,9792446171"
,,01.09,"9782218506853190,00","0,9782218507"
,,1.1,"9770908752507770,00","0,9770908753"
,,1.11,"9760803306922830,00","0,9760803307"
,,1.12,"9748543044534200,00","0,9748543045"
,,11.300.000.000.000.000,"9738375483196650,00","0,9738375483"
,,11.400.000.000.000.000,"9730294628502600,00","0,9730294629"
,,11.500.000.000.000.000,"9721886803319950,00","0,9721886803"
,,1.16,"9711925964782290,00","0,9711925965"
,,1.17,"9703741149887300,00","0,970374115"
,,1.18,"9697139621126440,00","0,9697139621"
,,1.19,"9688995824135480,00","0,9688995824"
,,1.2,"9681088860337910,00","0,968108886"
,,1.21,"9674812441822970,00","0,9674812442"
,,1.22,"9668559493655720,00","0,9668559494"
,,1.23,"9661458362795930,00","0,9661458363"
,,1.24,"9654697342090870,00","0,9654697342"
,,1.25,"9649841853763310,00","0,9649841854"
,,1.26,"9643547434221050,00","0,9643547434"
,,1.27,"9638426150899940,00","0,9638426151"
,,1.28,"9633820736461840,00","0,9633820736"
,,1.29,"9628138026555230,00","0,9628138027"
,,1.3,"9622580740256930,00","0,962258074"
,,1.31,"9619372365985720,00","0,9619372366"
,,1.32,"9614927146245480,00","0,9614927146"
,,1.33,"9610559598047280,00","0,9610559598"
,,1.34,"9605826643267030,00","0,9605826643"
,,1.35,"9602812651044480,00","0,9602812651"
,,1.36,"9597741416524220,00","0,9597741417"
,,1.37,"9595815706633770,00","0,9595815707"
,,13.800.000.000.000.000,"9592092955537290,00","0,9592092956"
,,13.900.000.000.000.000,"9588833051365890,00","0,9588833051"
,,14.000.000.000.000.000,"9587336534588590,00","0,9587336535"
,,1.41,"9584060158789850,00","0,9584060159"
,,1.42,"9581890837993800,00","0,9581890838"
,,1.43,"9578580348678930,00","0,9578580349"
,,1.44,"9576764593797180,00","0,9576764594"
,,1.45,"9573803826818510,00","0,9573803827"
,,1.46,"9571228793807070,00","0,9571228794"
,,1.47,"9570418695498750,00","0,9570418695"
,,1.48,"9569532070540500,00","0,9569532071"
,,1.49,"9567056340781490,00","0,9567056341"
,,1.5,"9565469895657280,00","0,9565469896"