Per al cas laminar,,,,,,
,0.04,,0.36,,0.37,
0,"18981916367394600,0000000","1,89819163674","18911292830598200,0000000","1,89112928306","18911292830600300,0000000","1,8911292831"
0.01,"17799394980757800,0000000","1,77993949808","17852249258909600,0000000","1,78522492589","17645136033446500,0000000","1,7645136033"
0.02,"15474157367517400,0000000","1,54741573675","15824690270318700,0000000","1,58246902703","15437619584751600,0000000","1,5437619585"
0.03,"14122029145419500,0000000","1,41220291454","13119308732719500,0000000","1,31193087327","13242575226632700,0000000","1,3242575227"
0.04,"13055754781289800,0000000","1,30557547813","11696962414107700,0000000","1,16969624141","12374063069127600,0000000","1,2374063069"
0.05,"12331116533613000,0000000","1,23311165336","11033107667197700,0000000","1,10331076672","11586684849163800,0000000","1,1586684849"
0.06,"12153424226878500,0000000","1,21534242269","10668490849196500,0000000","1,06684908492","11277144691612500,0000000","1,1277144692"
0.07,"11992959881484400,0000000","1,19929598815","10594026948097700,0000000","1,05940269481","11154927888280600,0000000","1,1154927888"
0.08,"11839109180418400,0000000","1,18391091804","10510381097815300,0000000","1,05103810978","11073725629918400,0000000","1,1073725630"
0.09,"11666499296982100,0000000","1,16664992970","10459308831302100,0000000","1,04593088313","10933010912814000,0000000","1,0933010913"
0.1,"11661208744630300,0000000","1,16612087446","10379105917609400,0000000","1,03791059176","10757643394872500,0000000","1,0757643395"
0.11,"11541248755994500,0000000","1,15412487560","10318451896003800,0000000","1,03184518960","10577448889598400,0000000","1,0577448890"
0.12,"11456978117615500,0000000","1,14569781176","10353035538248700,0000000","1,03530355382","10621696065946000,0000000","1,0621696066"
0.13,"11385380393132800,0000000","1,13853803931","10361792384370600,0000000","1,03617923844","10633434417447300,0000000","1,0633434417"
0.14,"11291143601334200,0000000","1,12911436013","10265073258151100,0000000","1,02650732582","10489006579900200,0000000","1,0489006580"
0.15,"11241431474099000,0000000","1,12414314741","10251350000785100,0000000","1,02513500008","10451559317759600,0000000","1,0451559318"
0.16,"11221219903162000,0000000","1,12212199032","10242634682631700,0000000","1,02426346826","10423014821856200,0000000","1,0423014822"
0.17,"11267978667527600,0000000","1,12679786675","10232030123103400,0000000","1,02320301231","10505420110433800,0000000","1,0505420110"
0.18,"11294894900457600,0000000","1,12948949005","10257556291020000,0000000","1,02575562910","10566837280776300,0000000","1,0566837281"
0.19,"11380679391928400,0000000","1,13806793919","10219605250576300,0000000","1,02196052506","10577390212769600,0000000","1,0577390213"
0.2,"11396718665248100,0000000","1,13967186652","10111135052746100,0000000","1,01111350527","10627902579970000,0000000","1,0627902580"
0.21,"11422358391492300,0000000","1,14223583915","10026880090598300,0000000","1,00268800906","10576435296482400,0000000","1,0576435296"
0.22,"11386355890751400,0000000","1,13863558908","10017364870716100,0000000","1,00173648707","10477374649060600,0000000","1,0477374649"
0.23,"11362987070132600,0000000","1,13629870701","10111806671255600,0000000","1,01118066713","10387525774380400,0000000","1,0387525774"
0.24,"11345901039206300,0000000","1,13459010392","10093734780021600,0000000","1,00937347800","10327586319339300,0000000","1,0327586319"
0.25,"11357481624028100,0000000","1,13574816240","10094611119280700,0000000","1,00946111193","10325071871540500,0000000","1,0325071872"
0.26,"11345513889011700,0000000","1,13455138890","10068890858258900,0000000","1,00688908583","10328877187199300,0000000","1,0328877187"
0.27,"11324537780250800,0000000","1,13245377803","10044679501877600,0000000","1,00446795019","10359583146830800,0000000","1,0359583147"
0.28,"11332858684751200,0000000","1,13328586848","10002930994953100,0000000","1,00029309950","10354083432895900,0000000","1,0354083433"
0.29,"11323225949978300,0000000","1,13232259500","10027536929679700,0000000","1,00275369297","10418673774600900,0000000","1,0418673775"
0.3,"11301664491133900,0000000","1,13016644911","10103790868381600,0000000","1,01037908684","10391737578148000,0000000","1,0391737578"
0.31,"11323829692292800,0000000","1,13238296923","10139158356041000,0000000","1,01391583560","10439013808176200,0000000","1,0439013808"
0.32,"11307957562739700,0000000","1,13079575627","10231956303102100,0000000","1,02319563031","10442425775754400,0000000","1,0442425776"
0.33,"11343322679162400,0000000","1,13433226792","10266998695797100,0000000","1,02669986958","10432005746389100,0000000","1,0432005746"
0.34,"11414896643496800,0000000","1,14148966435","10198673160419500,0000000","1,01986731604","10446459046222100,0000000","1,0446459046"
35.000.000.000.000.000,"11368211074263000,0000000","1,13682110743","10088858184187900,0000000","1,00888581842","10437226689394900,0000000","1,0437226689"
0.36,"11379016542490300,0000000","1,13790165425","10047766342953700,0000000","1,00477663430","10452363960224700,0000000","1,0452363960"
0.37,"11334338888428900,0000000","1,13343388884","10023466330849700,0000000","1,00234663308","10446265671412300,0000000","1,0446265671"
0.38,"11326452849530000,0000000","1,13264528495","10076171618600100,0000000","1,00761716186","10448546779510800,0000000","1,0448546780"
0.39,"11342219856338000,0000000","1,13422198563","10232749725021600,0000000","1,02327497250","10429842374560700,0000000","1,0429842375"
0.4,"11327648417418900,0000000","1,13276484174","10245002474466700,0000000","1,02450024745","10420131512394900,0000000","1,0420131512"
41.000.000.000.000.000,"11270625460384700,0000000","1,12706254604","10255907390701800,0000000","1,02559073907","10422331121513400,0000000","1,0422331122"
0.42,"11278801941002700,0000000","1,12788019410","10211695799338700,0000000","1,02116957993","10400499050816900,0000000","1,0400499051"
0.43,"11291043579815000,0000000","1,12910435798","10176172754448400,0000000","1,01761727544","10441321706282000,0000000","1,0441321706"
0.44,"11386969731313700,0000000","1,13869697313","10175164458178900,0000000","1,01751644582","10483119348147400,0000000","1,0483119348"
0.45,"11464332517949900,0000000","1,14643325179","10143916994202900,0000000","1,01439169942","10451662823654900,0000000","1,0451662824"
0.46,"11459497354016300,0000000","1,14594973540","10135398371656400,0000000","1,01353983717","10309169094218300,0000000","1,0309169094"
47.000.000.000.000.000,"11420706561630500,0000000","1,14207065616","10111079356704200,0000000","1,01110793567","10308203040721100,0000000","1,0308203041"
0.48,"11390614736590000,0000000","1,13906147366","10052798452710500,0000000","1,00527984527","10307040213338300,0000000","1,0307040213"
0.49,"11376940124804900,0000000","1,13769401248","10044394413794500,0000000","1,00443944138","10303377076681000,0000000","1,0303377077"
0.5,"11377001341125500,0000000","1,13770013411","10055876731964000,0000000","1,00558767320","10308149163955200,0000000","1,0308149164"
0.51,"11348430587851800,0000000","1,13484305879","10190185448274000,0000000","1,01901854483","10400170235105900,0000000","1,0400170235"
0.52,"11363803408474800,0000000","1,13638034085","10150332627749400,0000000","1,01503326277","10441074788234000,0000000","1,0441074788"
0.53,"11376816267209300,0000000","1,13768162672","10082223166167200,0000000","1,00822231662","10449549561247000,0000000","1,0449549561"
0.54,"11188022581300100,0000000","1,11880225813","10094546479574100,0000000","1,00945464796","10535947073766700,0000000","1,0535947074"
0.55,"11119775232630100,0000000","1,11197752326","10094188509249000,0000000","1,00941885092","10437283440027200,0000000","1,0437283440"
0.56,"11165356492351600,0000000","1,11653564924","10101582810077300,0000000","1,01015828101","10392784601761000,0000000","1,0392784602"
5.700.000.000.000.000,"11236513801785300,0000000","1,12365138018","10070889762215600,0000000","1,00708897622","10347616713150000,0000000","1,0347616713"
0.58,"11327246652431200,0000000","1,13272466524","10048819414614600,0000000","1,00488194146","10397184221874500,0000000","1,0397184222"
0.59,"11324812207236100,0000000","1,13248122072","10022673966887200,0000000","1,00226739669","10428467437753300,0000000","1,0428467438"
0.6,"11305274397111600,0000000","1,13052743971","10003169595009900,0000000","1,00031695950","10433662226577000,0000000","1,0433662227"
0.61,"11396900835980100,0000000","1,13969008360","10011256796352900,0000000","1,00112567964","10409301651155900,0000000","1,0409301651"
0.62,"11407181283447300,0000000","1,14071812834","10037665110579500,0000000","1,00376651106","10403767551314700,0000000","1,0403767551"
0.63,"11432806012984400,0000000","1,14328060130","10038610532028600,0000000","1,00386105320","10423954356701700,0000000","1,0423954357"
0.64,"11437781931735000,0000000","1,14377819317","9946504994896030,0000000","0,99465049949","10440957411995000,0000000","1,0440957412"
0.65,"11418747522145100,0000000","1,14187475221","10007580582721500,0000000","1,00075805827","10452757645980700,0000000","1,0452757646"
0.66,"11434881556787200,0000000","1,14348815568","10174111718494500,0000000","1,01741117185","10380172844901400,0000000","1,0380172845"
0.67,"11319294222616300,0000000","1,13192942226","10249936652169600,0000000","1,02499366522","10355114154503200,0000000","1,0355114155"
0.68,"11208440812565300,0000000","1,12084408126","10224772280598000,0000000","1,02247722806","10392696133539600,0000000","1,0392696134"
6.900.000.000.000.000,"11178349289964700,0000000","1,11783492900","10240966772138100,0000000","1,02409667721","10425856314960600,0000000","1,0425856315"
7.000.000.000.000.000,"11171133284573700,0000000","1,11711332846","10208234253548500,0000000","1,02082342535","10443526680829500,0000000","1,0443526681"
0.71,"11148181162095400,0000000","1,11481811621","10187186192008600,0000000","1,01871861920","10426433086494100,0000000","1,0426433086"
0.72,"11239868872732600,0000000","1,12398688727","10188853920579700,0000000","1,01888539206","10422311775855400,0000000","1,0422311776"
0.73,"11301562750052900,0000000","1,13015627501","10197018037078600,0000000","1,01970180371","10441514239172600,0000000","1,0441514239"
0.74,"11289656584749900,0000000","1,12896565847","10214363755535300,0000000","1,02143637555","10417611024151100,0000000","1,0417611024"
0.75,"11295367024879200,0000000","1,12953670249","10152984688071100,0000000","1,01529846881","10432429502516300,0000000","1,0432429503"
0.76,"11317896157483800,0000000","1,13178961575","10117693972338700,0000000","1,01176939723","10436192363785000,0000000","1,0436192364"
0.77,"11319914684237700,0000000","1,13199146842","10066848015402100,0000000","1,00668480154","10433843314613300,0000000","1,0433843315"
0.78,"11343170164024500,0000000","1,13431701640","10067263402789100,0000000","1,00672634028","10446596051872300,0000000","1,0446596052"
0.79,"11340537483660800,0000000","1,13405374837","10103846687176100,0000000","1,01038466872","10482266745729400,0000000","1,0482266746"
0.8,"11294097785500200,0000000","1,12940977855","10112795119172700,0000000","1,01127951192","10409761302020500,0000000","1,0409761302"
0.81,"11288225409794900,0000000","1,12882254098","10236753448255800,0000000","1,02367534483","10290487117166700,0000000","1,0290487117"
8.200.000.000.000.000,"11276635179016400,0000000","1,12766351790","10288281427743200,0000000","1,02882814277","10290925858326700,0000000","1,0290925858"
8.300.000.000.000.000,"11293806387461400,0000000","1,12938063875","10312049322831500,0000000","1,03120493228","10308896509662300,0000000","1,0308896510"
0.84,"11294974561888400,0000000","1,12949745619","10313566362126800,0000000","1,03135663621","10391595591996200,0000000","1,0391595592"
0.85,"11294807331119800,0000000","1,12948073311","10221591978293800,0000000","1,02215919783","10492346959820900,0000000","1,0492346960"
0.86,"11285562348287400,0000000","1,12855623483","10118789801159400,0000000","1,01187898012","10464114568222100,0000000","1,0464114568"
0.87,"11256865576065600,0000000","1,12568655761","10094992280705600,0000000","1,00949922807","10498062687207100,0000000","1,0498062687"
0.88,"11214057416033700,0000000","1,12140574160","10049234664536800,0000000","1,00492346645","10498570779669800,0000000","1,0498570780"
0.89,"11236262681777300,0000000","1,12362626818","10061710330722500,0000000","1,00617103307","10490796515786300,0000000","1,0490796516"
0.9,"11222665349969600,0000000","1,12226653500","10111476236662100,0000000","1,01114762367","10468014744591100,0000000","1,0468014745"
0.91,"11257815729794600,0000000","1,12578157298","10111838644873300,0000000","1,01118386449","10508246077115100,0000000","1,0508246077"
0.92,"11229923344708400,0000000","1,12299233447","10117367979441800,0000000","1,01173679794","10461056770083700,0000000","1,0461056770"
0.93,"11341455689228000,0000000","1,13414556892","10113106066135700,0000000","1,01131060661","10432326421207600,0000000","1,0432326421"
9.400.000.000.000.000,"11425974746899900,0000000","1,14259747469","10144466445718500,0000000","1,01444664457","10458037227934800,0000000","1,0458037228"
9.500.000.000.000.000,"11482276967256100,0000000","1,14822769673","10108428138573800,0000000","1,01084281386","10500557646664600,0000000","1,0500557647"
0.96,"11457122084647500,0000000","1,14571220846","10103504468140000,0000000","1,01035044681","10470618875903600,0000000","1,0470618876"
0.97,"11430782911339500,0000000","1,14307829113","10112315880511900,0000000","1,01123158805","10415087307577200,0000000","1,0415087308"
0.98,"11379897568639900,0000000","1,13798975686","10084879595407200,0000000","1,00848795954","10428064035074100,0000000","1,0428064035"
0.99,"11322259261650600,0000000","1,13222592617","10087516049740000,0000000","1,00875160497","10416249133803700,0000000","1,0416249134"
1,"11328086005939700,0000000","1,13280860059","10128831814925900,0000000","1,01288318149","10432145878560700,0000000","1,0432145879"
01.01,"11311308664026100,0000000","1,13113086640","10106698999687400,0000000","1,01066989997","10426258148947600,0000000","1,0426258149"
01.02,"11325402575855600,0000000","1,13254025759","10119268201309900,0000000","1,01192682013","10406775373947000,0000000","1,0406775374"
01.03,"11323173266949200,0000000","1,13231732669","10122545522880600,0000000","1,01225455229","10432313334253900,0000000","1,0432313334"
01.04,"11275614853687500,0000000","1,12756148537","10109480928482700,0000000","1,01094809285","10431070358005600,0000000","1,0431070358"
01.05,"11248687711345900,0000000","1,12486877113","10110177637682000,0000000","1,01101776377","10424815657773700,0000000","1,0424815658"
01.06,"11242193912652500,0000000","1,12421939127","10125783348666000,0000000","1,01257833487","10437179166473600,0000000","1,0437179166"
01.07,"11245824885078700,0000000","1,12458248851","10121299022776000,0000000","1,01212990228","10430997875908700,0000000","1,0430997876"
01.08,"11294974034877700,0000000","1,12949740349","10125171018627300,0000000","1,01251710186","10450385703431900,0000000","1,0450385703"
01.09,"11274380761791100,0000000","1,12743807618","10104907743977200,0000000","1,01049077440","10422016683583700,0000000","1,0422016684"
1.1,"11234567000876900,0000000","1,12345670009","10102814114227900,0000000","1,01028141142","10397840580343300,0000000","1,0397840580"
1.11,"11202680531076500,0000000","1,12026805311","10129265089549400,0000000","1,01292650895","10426785784996100,0000000","1,0426785785"
1.12,"11214295695056300,0000000","1,12142956951","10113767977934800,0000000","1,01137679779","10416200766555500,0000000","1,0416200767"
11.300.000.000.000.000,"11251884776948500,0000000","1,12518847769","10118420911391000,0000000","1,01184209114","10424308916666900,0000000","1,0424308917"
11.400.000.000.000.000,"11298696811387000,0000000","1,12986968114","10106025974448100,0000000","1,01060259744","10427052081484200,0000000","1,0427052081"
11.500.000.000.000.000,"11317138726880800,0000000","1,13171387269","10108693862631200,0000000","1,01086938626","10474837873848900,0000000","1,0474837874"
1.16,"11336472620706600,0000000","1,13364726207","10121983030662900,0000000","1,01219830307","10443224647757300,0000000","1,0443224648"
1.17,"11342750955802000,0000000","1,13427509558","10134862296982200,0000000","1,01348622970","10440379428943200,0000000","1,0440379429"
1.18,"11367985778158500,0000000","1,13679857782","10132463379572900,0000000","1,01324633796","10410112474262800,0000000","1,0410112474"
1.19,"11353238585746400,0000000","1,13532385857","10142462690452000,0000000","1,01424626905","10460998194349000,0000000","1,0460998194"
1.2,"11364067508233100,0000000","1,13640675082","10114541206110400,0000000","1,01145412061","10426402174018000,0000000","1,0426402174"
1.21,"11375927624859600,0000000","1,13759276249","10065836270753800,0000000","1,00658362708","10430151073480800,0000000","1,0430151073"
1.22,"11385172031848200,0000000","1,13851720318","10086610889449600,0000000","1,00866108894","10461308575236300,0000000","1,0461308575"
1.23,"11429761481982100,0000000","1,14297614820","10074637329517900,0000000","1,00746373295","10468727988555000,0000000","1,0468727989"
1.24,"11482649181460700,0000000","1,14826491815","10076559708042900,0000000","1,00765597080","10428509990848700,0000000","1,0428509991"
1.25,"11470598867959400,0000000","1,14705988680","10106798129889700,0000000","1,01067981299","10410818351735800,0000000","1,0410818352"
1.26,"11490394374100800,0000000","1,14903943741","10107531767235300,0000000","1,01075317672","10450794408965600,0000000","1,0450794409"
1.27,"11491520530602700,0000000","1,14915205306","10089633174995500,0000000","1,00896331750","10432739477307400,0000000","1,0432739477"
1.28,"11448598895044800,0000000","1,14485988950","10104416877550600,0000000","1,01044168776","10414542178597100,0000000","1,0414542179"
1.29,"11293040009359400,0000000","1,12930400094","10100864723599600,0000000","1,01008647236","10327259532079900,0000000","1,0327259532"
1.3,"11246737212923800,0000000","1,12467372129","10089341663338700,0000000","1,00893416633","10309547759736800,0000000","1,0309547760"
1.31,"11240292688082400,0000000","1,12402926881","10083493389908800,0000000","1,00834933899","10298720335977300,0000000","1,0298720336"
1.32,"11303587896259300,0000000","1,13035878963","10057502264638900,0000000","1,00575022646","10368331170626800,0000000","1,0368331171"
1.33,"11355399034421800,0000000","1,13553990344","10071963151367000,0000000","1,00719631514","10373247032847600,0000000","1,0373247033"
1.34,"11332636697654600,0000000","1,13326366977","10066508916771300,0000000","1,00665089168","10447144311211800,0000000","1,0447144311"
1.35,"11335795374558800,0000000","1,13357953746","10071136342960700,0000000","1,00711363430","10457298273509800,0000000","1,0457298274"
1.36,"11278658428838800,0000000","1,12786584288","10053197903860000,0000000","1,00531979039","10467982114951900,0000000","1,0467982115"
1.37,"11261105374087400,0000000","1,12611053741","10033915078545900,0000000","1,00339150785","10398886591337600,0000000","1,0398886591"
13.800.000.000.000.000,"11216937131028600,0000000","1,12169371310","10045060556319800,0000000","1,00450605563","10399496932104200,0000000","1,0399496932"
13.900.000.000.000.000,"11120650205097300,0000000","1,11206502051","10057743457436200,0000000","1,00577434574","10360463259934900,0000000","1,0360463260"
14.000.000.000.000.000,"11113014660503700,0000000","1,11130146605","10020860035250700,0000000","1,00208600353","10324872947400400,0000000","1,0324872947"
1.41,"11034775564166800,0000000","1,10347755642","10000154242962300,0000000","1,00001542430","10340171536142900,0000000","1,0340171536"
1.42,"10973461499141300,0000000","1,09734614991","9986714589106190,0000000","0,99867145891","10332186269671100,0000000","1,0332186270"
1.43,"10897803483037800,0000000","1,08978034830","9919321713573490,0000000","0,99193217136","10250598700090200,0000000","1,0250598700"
1.44,"10880342911153100,0000000","1,08803429112","9868783532133750,0000000","0,98687835321","10198704449213800,0000000","1,0198704449"
1.45,"11042717711906500,0000000","1,10427177119","9998975020233680,0000000","0,99989750202","10292790231920300,0000000","1,0292790232"
1.46,"11252180419249500,0000000","1,12521804192","10221165100412700,0000000","1,02211651004","10455406578663500,0000000","1,0455406579"
1.47,"11369395378080800,0000000","1,13693953781","10310616482748700,0000000","1,03106164827","10507853792079000,0000000","1,0507853792"
1.48,"11280341157373000,0000000","1,12803411574","10145959983240500,0000000","1,01459599832","10352400974547200,0000000","1,0352400975"
1.49,"10977783031948700,0000000","1,09777830319","9870889853735170,0000000","0,98708898537","10132336435806300,0000000","1,0132336436"
1.5,"10321595877050800,0000000","1,03215958771","9394214578950230,0000000","0,93942145790","9764770010158470,0000000","0,9764770010"